FolioURN,Sequence,RV,Label,DefaultImageURN
urn:cite:bla:bbb318.67r,133,recto,"Bern, Burgerbibliothek, Cod. 318, 67r",urn:cite:ecodices:bbb318img.bbb318_067r
urn:cite:bla:bbb318.67v,134,verso,"Bern, Burgerbibliothek, Cod. 318, 67v",urn:cite:ecodices:bbb318img.bbb318_067v
urn:cite:bla:bbb318.68r,135,recto,"Bern, Burgerbibliothek, Cod. 318, 68r",urn:cite:ecodices:bbb318img.bbb318_068r
urn:cite:bla:bbb318.68v,136,verso,"Bern, Burgerbibliothek, Cod. 318, 68v",urn:cite:ecodices:bbb318img.bbb318_068v
urn:cite:bla:bbb318.69r,137,recto,"Bern, Burgerbibliothek, Cod. 318, 69r",urn:cite:ecodices:bbb318img.bbb318_069r
urn:cite:bla:bbb318.69v,138,verso,"Bern, Burgerbibliothek, Cod. 318, 69v",urn:cite:ecodices:bbb318img.bbb318_069v
urn:cite:bla:bbb318.70r,139,recto,"Bern, Burgerbibliothek, Cod. 318, 70r",urn:cite:ecodices:bbb318img.bbb318_070r
urn:cite:bla:bbb318.70v,140,verso,"Bern, Burgerbibliothek, Cod. 318, 70v",urn:cite:ecodices:bbb318img.bbb318_070v
urn:cite:bla:bbb318.71r,141,recto,"Bern, Burgerbibliothek, Cod. 318, 71r",urn:cite:ecodices:bbb318img.bbb318_071r
urn:cite:bla:bbb318.71v,142,verso,"Bern, Burgerbibliothek, Cod. 318, 71v",urn:cite:ecodices:bbb318img.bbb318_071v
urn:cite:bla:bbb318.72r,143,recto,"Bern, Burgerbibliothek, Cod. 318, 72r",urn:cite:ecodices:bbb318img.bbb318_072r
urn:cite:bla:bbb318.72v,144,verso,"Bern, Burgerbibliothek, Cod. 318, 72v",urn:cite:ecodices:bbb318img.bbb318_072v
urn:cite:bla:bbb318.73r,145,recto,"Bern, Burgerbibliothek, Cod. 318, 73r",urn:cite:ecodices:bbb318img.bbb318_073r
urn:cite:bla:bbb318.73v,146,verso,"Bern, Burgerbibliothek, Cod. 318, 73v",urn:cite:ecodices:bbb318img.bbb318_073v
urn:cite:bla:bbb318.74r,147,recto,"Bern, Burgerbibliothek, Cod. 318, 74r",urn:cite:ecodices:bbb318img.bbb318_074r
urn:cite:bla:bbb318.74v,148,verso,"Bern, Burgerbibliothek, Cod. 318, 74v",urn:cite:ecodices:bbb318img.bbb318_074v
urn:cite:bla:bbb318.75r,149,recto,"Bern, Burgerbibliothek, Cod. 318, 75r",urn:cite:ecodices:bbb318img.bbb318_075r
urn:cite:bla:bbb318.75v,150,verso,"Bern, Burgerbibliothek, Cod. 318, 75v",urn:cite:ecodices:bbb318img.bbb318_075v
urn:cite:bla:bbb318.76r,151,recto,"Bern, Burgerbibliothek, Cod. 318, 76r",urn:cite:ecodices:bbb318img.bbb318_076r
urn:cite:bla:bbb318.76v,152,verso,"Bern, Burgerbibliothek, Cod. 318, 76v",urn:cite:ecodices:bbb318img.bbb318_076v
urn:cite:bla:bbb318.77r,153,recto,"Bern, Burgerbibliothek, Cod. 318, 77r",urn:cite:ecodices:bbb318img.bbb318_077r
urn:cite:bla:bbb318.77v,154,verso,"Bern, Burgerbibliothek, Cod. 318, 77v",urn:cite:ecodices:bbb318img.bbb318_077v
urn:cite:bla:bbb318.78r,155,recto,"Bern, Burgerbibliothek, Cod. 318, 78r",urn:cite:ecodices:bbb318img.bbb318_078r
urn:cite:bla:bbb318.78v,156,verso,"Bern, Burgerbibliothek, Cod. 318, 78v",urn:cite:ecodices:bbb318img.bbb318_078v
urn:cite:bla:bbb318.79r,157,recto,"Bern, Burgerbibliothek, Cod. 318, 79r",urn:cite:ecodices:bbb318img.bbb318_079r
urn:cite:bla:bbb318.79v,158,verso,"Bern, Burgerbibliothek, Cod. 318, 79v",urn:cite:ecodices:bbb318img.bbb318_079v
urn:cite:bla:bbb318.80r,159,recto,"Bern, Burgerbibliothek, Cod. 318, 80r",urn:cite:ecodices:bbb318img.bbb318_080r
urn:cite:bla:bbb318.80v,160,verso,"Bern, Burgerbibliothek, Cod. 318, 80v",urn:cite:ecodices:bbb318img.bbb318_080v
urn:cite:bla:bbb318.81r,161,recto,"Bern, Burgerbibliothek, Cod. 318, 81r",urn:cite:ecodices:bbb318img.bbb318_081r
urn:cite:bla:bbb318.81v,162,verso,"Bern, Burgerbibliothek, Cod. 318, 81v",urn:cite:ecodices:bbb318img.bbb318_081v
urn:cite:bla:bbb318.82r,163,recto,"Bern, Burgerbibliothek, Cod. 318, 82r",urn:cite:ecodices:bbb318img.bbb318_082r
urn:cite:bla:bbb318.82v,164,verso,"Bern, Burgerbibliothek, Cod. 318, 82v",urn:cite:ecodices:bbb318img.bbb318_082v
urn:cite:bla:bbb318.83r,165,recto,"Bern, Burgerbibliothek, Cod. 318, 83r",urn:cite:ecodices:bbb318img.bbb318_083r
urn:cite:bla:bbb318.83v,166,verso,"Bern, Burgerbibliothek, Cod. 318, 83v",urn:cite:ecodices:bbb318img.bbb318_083v
urn:cite:bla:bbb318.84r,167,recto,"Bern, Burgerbibliothek, Cod. 318, 84r",urn:cite:ecodices:bbb318img.bbb318_084r
urn:cite:bla:bbb318.84v,168,verso,"Bern, Burgerbibliothek, Cod. 318, 84v",urn:cite:ecodices:bbb318img.bbb318_084v
urn:cite:bla:bbb318.85r,169,recto,"Bern, Burgerbibliothek, Cod. 318, 85r",urn:cite:ecodices:bbb318img.bbb318_085r
urn:cite:bla:bbb318.85v,170,verso,"Bern, Burgerbibliothek, Cod. 318, 85v",urn:cite:ecodices:bbb318img.bbb318_085v
urn:cite:bla:bbb318.86r,171,recto,"Bern, Burgerbibliothek, Cod. 318, 86r",urn:cite:ecodices:bbb318img.bbb318_086r
urn:cite:bla:bbb318.86v,172,verso,"Bern, Burgerbibliothek, Cod. 318, 86v",urn:cite:ecodices:bbb318img.bbb318_086v
urn:cite:bla:bbb318.87r,173,recto,"Bern, Burgerbibliothek, Cod. 318, 87r",urn:cite:ecodices:bbb318img.bbb318_087r
urn:cite:bla:bbb318.87v,174,verso,"Bern, Burgerbibliothek, Cod. 318, 87v",urn:cite:ecodices:bbb318img.bbb318_087v
urn:cite:bla:bbb318.88r,175,recto,"Bern, Burgerbibliothek, Cod. 318, 88r",urn:cite:ecodices:bbb318img.bbb318_088r
urn:cite:bla:bbb318.88v,176,verso,"Bern, Burgerbibliothek, Cod. 318, 88v",urn:cite:ecodices:bbb318img.bbb318_088v
urn:cite:bla:bbb318.89r,177,recto,"Bern, Burgerbibliothek, Cod. 318, 89r",urn:cite:ecodices:bbb318img.bbb318_089r
urn:cite:bla:bbb318.89v,178,verso,"Bern, Burgerbibliothek, Cod. 318, 89v",urn:cite:ecodices:bbb318img.bbb318_089v
urn:cite:bla:bbb318.90r,179,recto,"Bern, Burgerbibliothek, Cod. 318, 90r",urn:cite:ecodices:bbb318img.bbb318_090r
urn:cite:bla:bbb318.90v,180,verso,"Bern, Burgerbibliothek, Cod. 318, 90v",urn:cite:ecodices:bbb318img.bbb318_090v
urn:cite:bla:bbb318.91r,181,recto,"Bern, Burgerbibliothek, Cod. 318, 91r",urn:cite:ecodices:bbb318img.bbb318_091r
urn:cite:bla:bbb318.91v,182,verso,"Bern, Burgerbibliothek, Cod. 318, 91v",urn:cite:ecodices:bbb318img.bbb318_091v
urn:cite:bla:bbb318.92r,183,recto,"Bern, Burgerbibliothek, Cod. 318, 92r",urn:cite:ecodices:bbb318img.bbb318_092r
urn:cite:bla:bbb318.92v,184,verso,"Bern, Burgerbibliothek, Cod. 318, 92v",urn:cite:ecodices:bbb318img.bbb318_092v
urn:cite:bla:bbb318.93r,185,recto,"Bern, Burgerbibliothek, Cod. 318, 93r",urn:cite:ecodices:bbb318img.bbb318_093r
urn:cite:bla:bbb318.93v,186,verso,"Bern, Burgerbibliothek, Cod. 318, 93v",urn:cite:ecodices:bbb318img.bbb318_093v
urn:cite:bla:bbb318.94r,187,recto,"Bern, Burgerbibliothek, Cod. 318, 94r",urn:cite:ecodices:bbb318img.bbb318_094r
urn:cite:bla:bbb318.94v,188,verso,"Bern, Burgerbibliothek, Cod. 318, 94v",urn:cite:ecodices:bbb318img.bbb318_094v
urn:cite:bla:bbb318.95r,189,recto,"Bern, Burgerbibliothek, Cod. 318, 95r",urn:cite:ecodices:bbb318img.bbb318_095r
urn:cite:bla:bbb318.95v,190,verso,"Bern, Burgerbibliothek, Cod. 318, 95v",urn:cite:ecodices:bbb318img.bbb318_095v
urn:cite:bla:bbb318.96r,191,recto,"Bern, Burgerbibliothek, Cod. 318, 96r",urn:cite:ecodices:bbb318img.bbb318_096r
urn:cite:bla:bbb318.96v,192,verso,"Bern, Burgerbibliothek, Cod. 318, 96v",urn:cite:ecodices:bbb318img.bbb318_096v
urn:cite:bla:bbb318.97r,193,recto,"Bern, Burgerbibliothek, Cod. 318, 97r",urn:cite:ecodices:bbb318img.bbb318_097r
urn:cite:bla:bbb318.97v,194,verso,"Bern, Burgerbibliothek, Cod. 318, 97v",urn:cite:ecodices:bbb318img.bbb318_097v
urn:cite:bla:bbb318.98r,195,recto,"Bern, Burgerbibliothek, Cod. 318, 98r",urn:cite:ecodices:bbb318img.bbb318_098r
urn:cite:bla:bbb318.98v,196,verso,"Bern, Burgerbibliothek, Cod. 318, 98v",urn:cite:ecodices:bbb318img.bbb318_098v
urn:cite:bla:bbb318.99r,197,recto,"Bern, Burgerbibliothek, Cod. 318, 99r",urn:cite:ecodices:bbb318img.bbb318_099r
urn:cite:bla:bbb318.99v,198,verso,"Bern, Burgerbibliothek, Cod. 318, 99v",urn:cite:ecodices:bbb318img.bbb318_099v
urn:cite:bla:bbb318.100r,199,recto,"Bern, Burgerbibliothek, Cod. 318, 100r",urn:cite:ecodices:bbb318img.bbb318_100r
urn:cite:bla:bbb318.100v,200,verso,"Bern, Burgerbibliothek, Cod. 318, 100v",urn:cite:ecodices:bbb318img.bbb318_100v
urn:cite:bla:bbb318.101r,201,recto,"Bern, Burgerbibliothek, Cod. 318, 101r",urn:cite:ecodices:bbb318img.bbb318_101r
urn:cite:bla:bbb318.101v,202,verso,"Bern, Burgerbibliothek, Cod. 318, 101v",urn:cite:ecodices:bbb318img.bbb318_101v
urn:cite:bla:bbb318.102r,203,recto,"Bern, Burgerbibliothek, Cod. 318, 102r",urn:cite:ecodices:bbb318img.bbb318_102r
urn:cite:bla:bbb318.102v,204,verso,"Bern, Burgerbibliothek, Cod. 318, 102v",urn:cite:ecodices:bbb318img.bbb318_102v
urn:cite:bla:bbb318.103r,205,recto,"Bern, Burgerbibliothek, Cod. 318, 103r",urn:cite:ecodices:bbb318img.bbb318_103r
urn:cite:bla:bbb318.103v,206,verso,"Bern, Burgerbibliothek, Cod. 318, 103v",urn:cite:ecodices:bbb318img.bbb318_103v
urn:cite:bla:bbb318.104r,207,recto,"Bern, Burgerbibliothek, Cod. 318, 104r",urn:cite:ecodices:bbb318img.bbb318_104r
urn:cite:bla:bbb318.104v,208,verso,"Bern, Burgerbibliothek, Cod. 318, 104v",urn:cite:ecodices:bbb318img.bbb318_104v
urn:cite:bla:bbb318.105r,209,recto,"Bern, Burgerbibliothek, Cod. 318, 105r",urn:cite:ecodices:bbb318img.bbb318_105r
urn:cite:bla:bbb318.105v,210,verso,"Bern, Burgerbibliothek, Cod. 318, 105v",urn:cite:ecodices:bbb318img.bbb318_105v
urn:cite:bla:bbb318.106r,211,recto,"Bern, Burgerbibliothek, Cod. 318, 106r",urn:cite:ecodices:bbb318img.bbb318_106r
urn:cite:bla:bbb318.106v,212,verso,"Bern, Burgerbibliothek, Cod. 318, 106v",urn:cite:ecodices:bbb318img.bbb318_106v
urn:cite:bla:bbb318.107r,213,recto,"Bern, Burgerbibliothek, Cod. 318, 107r",urn:cite:ecodices:bbb318img.bbb318_107r
urn:cite:bla:bbb318.107v,214,verso,"Bern, Burgerbibliothek, Cod. 318, 107v",urn:cite:ecodices:bbb318img.bbb318_107v
urn:cite:bla:bbb318.108r,215,recto,"Bern, Burgerbibliothek, Cod. 318, 108r",urn:cite:ecodices:bbb318img.bbb318_108r
urn:cite:bla:bbb318.108v,216,verso,"Bern, Burgerbibliothek, Cod. 318, 108v",urn:cite:ecodices:bbb318img.bbb318_108v
urn:cite:bla:bbb318.109r,217,recto,"Bern, Burgerbibliothek, Cod. 318, 109r",urn:cite:ecodices:bbb318img.bbb318_109r
urn:cite:bla:bbb318.109v,218,verso,"Bern, Burgerbibliothek, Cod. 318, 109v",urn:cite:ecodices:bbb318img.bbb318_109v
urn:cite:bla:bbb318.110r,219,recto,"Bern, Burgerbibliothek, Cod. 318, 110r",urn:cite:ecodices:bbb318img.bbb318_110r
urn:cite:bla:bbb318.110v,220,verso,"Bern, Burgerbibliothek, Cod. 318, 110v",urn:cite:ecodices:bbb318img.bbb318_110v
urn:cite:bla:bbb318.111r,221,recto,"Bern, Burgerbibliothek, Cod. 318, 111r",urn:cite:ecodices:bbb318img.bbb318_111r
urn:cite:bla:bbb318.111v,222,verso,"Bern, Burgerbibliothek, Cod. 318, 111v",urn:cite:ecodices:bbb318img.bbb318_111v
urn:cite:bla:bbb318.112r,223,recto,"Bern, Burgerbibliothek, Cod. 318, 112r",urn:cite:ecodices:bbb318img.bbb318_112r
urn:cite:bla:bbb318.112v,224,verso,"Bern, Burgerbibliothek, Cod. 318, 112v",urn:cite:ecodices:bbb318img.bbb318_112v
urn:cite:bla:bbb318.113r,225,recto,"Bern, Burgerbibliothek, Cod. 318, 113r",urn:cite:ecodices:bbb318img.bbb318_113r
urn:cite:bla:bbb318.113v,226,verso,"Bern, Burgerbibliothek, Cod. 318, 113v",urn:cite:ecodices:bbb318img.bbb318_113v
urn:cite:bla:bbb318.114r,227,recto,"Bern, Burgerbibliothek, Cod. 318, 114r",urn:cite:ecodices:bbb318img.bbb318_114r
urn:cite:bla:bbb318.114v,228,verso,"Bern, Burgerbibliothek, Cod. 318, 114v",urn:cite:ecodices:bbb318img.bbb318_114v
urn:cite:bla:bbb318.115r,229,recto,"Bern, Burgerbibliothek, Cod. 318, 115r",urn:cite:ecodices:bbb318img.bbb318_115r
urn:cite:bla:bbb318.115v,230,verso,"Bern, Burgerbibliothek, Cod. 318, 115v",urn:cite:ecodices:bbb318img.bbb318_115v
urn:cite:bla:bbb318.116r,231,recto,"Bern, Burgerbibliothek, Cod. 318, 116r",urn:cite:ecodices:bbb318img.bbb318_116r
urn:cite:bla:bbb318.116v,232,verso,"Bern, Burgerbibliothek, Cod. 318, 116v",urn:cite:ecodices:bbb318img.bbb318_116v
urn:cite:bla:bbb318.117r,233,recto,"Bern, Burgerbibliothek, Cod. 318, 117r",urn:cite:ecodices:bbb318img.bbb318_117r
urn:cite:bla:bbb318.117v,234,verso,"Bern, Burgerbibliothek, Cod. 318, 117v",urn:cite:ecodices:bbb318img.bbb318_117v
urn:cite:bla:bbb318.118r,235,recto,"Bern, Burgerbibliothek, Cod. 318, 118r",urn:cite:ecodices:bbb318img.bbb318_118r
urn:cite:bla:bbb318.118v,236,verso,"Bern, Burgerbibliothek, Cod. 318, 118v",urn:cite:ecodices:bbb318img.bbb318_118v
urn:cite:bla:bbb318.119r,237,recto,"Bern, Burgerbibliothek, Cod. 318, 119r",urn:cite:ecodices:bbb318img.bbb318_119r
urn:cite:bla:bbb318.119v,238,verso,"Bern, Burgerbibliothek, Cod. 318, 119v",urn:cite:ecodices:bbb318img.bbb318_119v
urn:cite:bla:bbb318.120r,239,recto,"Bern, Burgerbibliothek, Cod. 318, 120r",urn:cite:ecodices:bbb318img.bbb318_120r
urn:cite:bla:bbb318.120v,240,verso,"Bern, Burgerbibliothek, Cod. 318, 120v",urn:cite:ecodices:bbb318img.bbb318_120v
urn:cite:bla:bbb318.121r,241,recto,"Bern, Burgerbibliothek, Cod. 318, 121r",urn:cite:ecodices:bbb318img.bbb318_121r
urn:cite:bla:bbb318.121v,242,verso,"Bern, Burgerbibliothek, Cod. 318, 121v",urn:cite:ecodices:bbb318img.bbb318_121v
urn:cite:bla:bbb318.122r,243,recto,"Bern, Burgerbibliothek, Cod. 318, 122r",urn:cite:ecodices:bbb318img.bbb318_122r
urn:cite:bla:bbb318.122v,244,verso,"Bern, Burgerbibliothek, Cod. 318, 122v",urn:cite:ecodices:bbb318img.bbb318_122v
urn:cite:bla:bbb318.123r,245,recto,"Bern, Burgerbibliothek, Cod. 318, 123r",urn:cite:ecodices:bbb318img.bbb318_123r
urn:cite:bla:bbb318.123v,246,verso,"Bern, Burgerbibliothek, Cod. 318, 123v",urn:cite:ecodices:bbb318img.bbb318_123v
urn:cite:bla:bbb318.124r,247,recto,"Bern, Burgerbibliothek, Cod. 318, 124r",urn:cite:ecodices:bbb318img.bbb318_124r
urn:cite:bla:bbb318.124v,248,verso,"Bern, Burgerbibliothek, Cod. 318, 124v",urn:cite:ecodices:bbb318img.bbb318_124v
urn:cite:bla:bbb318.125r,249,recto,"Bern, Burgerbibliothek, Cod. 318, 125r",urn:cite:ecodices:bbb318img.bbb318_125r
urn:cite:bla:bbb318.125v,250,verso,"Bern, Burgerbibliothek, Cod. 318, 125v",urn:cite:ecodices:bbb318img.bbb318_125v
urn:cite:bla:bbb318.126r,251,recto,"Bern, Burgerbibliothek, Cod. 318, 126r",urn:cite:ecodices:bbb318img.bbb318_126r
urn:cite:bla:bbb318.126v,252,verso,"Bern, Burgerbibliothek, Cod. 318, 126v",urn:cite:ecodices:bbb318img.bbb318_126v
urn:cite:bla:bbb318.127r,253,recto,"Bern, Burgerbibliothek, Cod. 318, 127r",urn:cite:ecodices:bbb318img.bbb318_127r
urn:cite:bla:bbb318.127v,254,verso,"Bern, Burgerbibliothek, Cod. 318, 127v",urn:cite:ecodices:bbb318img.bbb318_127v
urn:cite:bla:bbb318.128r,255,recto,"Bern, Burgerbibliothek, Cod. 318, 128r",urn:cite:ecodices:bbb318img.bbb318_128r
urn:cite:bla:bbb318.128v,256,verso,"Bern, Burgerbibliothek, Cod. 318, 128v",urn:cite:ecodices:bbb318img.bbb318_128v
urn:cite:bla:bbb318.129r,257,recto,"Bern, Burgerbibliothek, Cod. 318, 129r",urn:cite:ecodices:bbb318img.bbb318_129r
urn:cite:bla:bbb318.129v,258,verso,"Bern, Burgerbibliothek, Cod. 318, 129v",urn:cite:ecodices:bbb318img.bbb318_129v
urn:cite:bla:bbb318.130r,259,recto,"Bern, Burgerbibliothek, Cod. 318, 130r",urn:cite:ecodices:bbb318img.bbb318_130r
urn:cite:bla:bbb318.130v,260,verso,"Bern, Burgerbibliothek, Cod. 318, 130v",urn:cite:ecodices:bbb318img.bbb318_130v
urn:cite:bla:bbb318.131r,261,recto,"Bern, Burgerbibliothek, Cod. 318, 131r",urn:cite:ecodices:bbb318img.bbb318_131r
urn:cite:bla:bbb318.131v,262,verso,"Bern, Burgerbibliothek, Cod. 318, 131v",urn:cite:ecodices:bbb318img.bbb318_131v
